2020-09-11,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Weld-Colorado	4245	149	NA
Yuma-Colorado	71	0	NA
Fairfield-Connecticut	19260	1417	NA
Hartford-Connecticut	13853	1430	NA
Litchfield-Connecticut	1763	139	NA
Middlesex-Connecticut	1505	193	NA
New Haven-Connecticut	13917	1110	NA
New London-Connecticut	1649	109	NA
Tolland-Connecticut	1215	65	NA
Windham-Connecticut	828	15	NA
Kent-Delaware	2744	111	NA
New Castle-Delaware	8805	305	NA
Sussex-Delaware	6456	197	NA
Washington-District of Columbia	14493	616	NA
Alachua-Florida	5898	36	NA
Baker-Florida	1286	6	NA
Bay-Florida	5583	87	NA
Bradford-Florida	881	5	NA
Brevard-Florida	7787	245	NA
Broward-Florida	73869	1258	NA
Calhoun-Florida	588	9	NA
Charlotte-Florida	2827	119	NA
Citrus-Florida	2386	70	NA
Clay-Florida	4308	81	NA
Collier-Florida	12096	188	NA
Columbia-Florida	3467	43	NA
Dade-Florida	162893	2789	NA
De Soto-Florida	1526	23	NA
Dixie-Florida	781	5	NA
Duval-Florida	28051	302	NA
Escambia-Florida	11702	200	NA
Flagler-Florida	1484	18	NA
Franklin-Florida	572	3	NA
Gadsden-Florida	2554	44	NA
Gilchrist-Florida	485	11	NA
Glades-Florida	468	4	NA
Gulf-Florida	851	13	NA
Hamilton-Florida	733	7	NA
Hardee-Florida	1190	9	NA
Hendry-Florida	2005	41	NA
Hernando-Florida	2821	103	NA
Highlands-Florida	1947	69	NA
Hillsborough-Florida	38917	579	NA
Holmes-Florida	692	5	NA
Indian River-Florida	2942	104	NA
Jackson-Florida	2547	72	NA
Jefferson-Florida	525	7	NA
Lafayette-Florida	1215	10	NA
Lake-Florida	6921	136	NA
Lee-Florida	19308	444	NA
Leon-Florida	8272	44	NA
Levy-Florida	956	8	NA
Liberty-Florida	468	7	NA
Madison-Florida	956	16	NA
Manatee-Florida	10772	270	NA
Marion-Florida	8967	235	NA
Martin-Florida	4526	125	NA
Monroe-Florida	1767	20	NA
Nassau-Florida	1880	29	NA
Okaloosa-Florida	4501	94	NA
Okeechobee-Florida	1295	20	NA
Orange-Florida	37472	400	NA
Osceola-Florida	11634	134	NA
Palm Beach-Florida	43530	1187	NA
Pasco-Florida	8411	189	NA
Pinellas-Florida	20655	697	NA
Polk-Florida	18121	483	NA
Putnam-Florida	1889	38	NA
St Johns-Florida	4759	62	NA
St Lucie-Florida	7404	255	NA
Santa Rosa-Florida	5026	63	NA
Sarasota-Florida	7500	225	NA
Seminole-Florida	8459	189	NA
Sumter-Florida	2069	59	NA
Suwannee-Florida	2519	64	NA
Taylor-Florida	1233	10	NA
Union-Florida	731	5	NA
Volusia-Florida	9931	203	NA
Wakulla-Florida	977	9	NA
Walton-Florida	1774	22	NA
Washington-Florida	1039	18	NA
Appling-Georgia	948	25	NA
Atkinson-Georgia	423	3	NA
Bacon-Georgia	547	10	NA
Baker-Georgia	73	3	NA
Baldwin-Georgia	1868	55	NA
Banks-Georgia	419	6	NA
