2020-09-10,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Okaloosa-Florida	4502	94	0
Okeechobee-Florida	1295	20	0
Orange-Florida	37473	401	0
Osceola-Florida	11634	134	0
Palm Beach-Florida	43532	1187	0
Pasco-Florida	8411	189	0
Pinellas-Florida	20655	697	0
Polk-Florida	18121	483	0
Putnam-Florida	1889	38	0
St Johns-Florida	4759	62	0
St Lucie-Florida	7404	255	0
Santa Rosa-Florida	5026	63	0
Sarasota-Florida	7500	225	0
Seminole-Florida	8459	189	0
Sumter-Florida	2069	59	0
Suwannee-Florida	2519	64	0
Taylor-Florida	1233	10	0
Union-Florida	731	5	0
Volusia-Florida	9931	203	0
Wakulla-Florida	977	9	0
Walton-Florida	1774	22	0
Washington-Florida	1039	18	0
Appling-Georgia	948	25	0
Atkinson-Georgia	423	3	0
Bacon-Georgia	547	10	0
Baker-Georgia	73	3	0
Baldwin-Georgia	1868	55	0
Banks-Georgia	419	6	0
Barrow-Georgia	1948	43	0
Bartow-Georgia	2621	76	0
Ben Hill-Georgia	689	18	0
Berrien-Georgia	417	10	0
Bibb-Georgia	5649	146	0
Bleckley-Georgia	400	19	0
Brantley-Georgia	321	8	0
Brooks-Georgia	492	24	0
Bryan-Georgia	966	9	0
Bulloch-Georgia	2540	23	0
Burke-Georgia	706	9	0
Butts-Georgia	596	41	0
Calhoun-Georgia	229	7	0
Camden-Georgia	1131	7	0
Candler-Georgia	389	16	0
Carroll-Georgia	2472	63	0
Catoosa-Georgia	986	16	0
Charlton-Georgia	590	6	0
Chatham-Georgia	7644	132	0
Chattahoochee-Georgia	1515	2	0
Chattooga-Georgia	657	7	0
Cherokee-Georgia	5338	87	0
Clarke-Georgia	4205	36	0
Clay-Georgia	115	2	0
Clayton-Georgia	6761	149	0
Clinch-Georgia	322	5	0
Cobb-Georgia	18155	409	0
Coffee-Georgia	1893	40	0
Colquitt-Georgia	1848	31	0
Columbia-Georgia	3387	53	0
Cook-Georgia	528	12	0
Coweta-Georgia	2375	34	0
Crawford-Georgia	162	4	0
Crisp-Georgia	505	17	0
Dade-Georgia	228	4	0
