date	time	source_timestamp	China - Anhui	China - Beijing	China - Chongqing	China - Fujian	China - Gansu	China - Guangdong	China - Guangxi	China - Guizhou	China - Hainan	China - Hebei	China - Heilongjiang	China - Henan	China - Hong Kong	China - Hubei	China - Hunan	China - Inner Mongolia	China - Jiangsu	China - Jiangxi	China - Jilin	China - Liaoning	China - Macau	China - Ningxia	China - Qinghai	China - Shaanxi	China - Shandong	China - Shanghai	China - Shanxi	China - Sichuan	China - Tianjin	China - Tibet	China - Xinjiang	China - Yunnan	China - Zhejiang
2020-03-18	00:00:00	NA	990-6-984	469-8-378	576-6-570	296-1-295	133-2-91	1370-8-1313	253-2-250	146-2-144	168-6-161	318-6-310	482-13-459	1273-22-1250	181-4-92	67800-3122-56927	1018-4-1014	75-1-73	631-0-631	935-1-934	93-1-92	125-1-122	15-0-10	75-0-75	18-0-18	246-3-237	761-7-746	361-3-326	133-0-133	540-3-525	136-3-133	1-0-1	76-3-73	176-2-172	1232-1-1216
2020-03-19	00:00:00	NA	990-6-984	480-8-380	576-6-570	296-1-295	134-2-91	1378-8-1318	253-2-250	146-2-144	168-6-161	318-6-310	483-13-460	1273-22-1250	208-4-95	67800-3130-57682	1018-4-1014	75-1-74	631-0-631	935-1-934	93-1-92	125-1-122	17-0-10	75-0-75	18-0-18	246-3-237	761-7-747	363-3-326	133-0-133	540-3-536	137-3-133	1-0-1	76-3-73	176-2-172	1233-1-1217
2020-03-20	00:00:00	NA	990-6-984	491-8-390	576-6-570	299-1-295	134-2-98	1395-8-1323	254-2-250	146-2-144	168-6-161	318-6-310	484-13-463	1273-22-1250	256-4-98	67800-3133-58382	1018-4-1014	75-1-74	631-0-631	935-1-934	93-1-92	126-2-122	17-0-10	75-0-75	18-0-18	247-3-237	762-7-748	371-3-326	133-0-133	541-3-536	137-3-133	1-0-1	76-3-73	176-2-172	1234-1-1219
2020-03-21	00:00:00	NA	990-6-984	504-8-396	576-6-570	303-1-295	134-2-113	1400-8-1325	254-2-250	146-2-144	168-6-161	318-6-310	484-13-463	1273-22-1250	273-4-98	67800-3139-58946	1018-4-1014	75-1-74	631-0-631	935-1-934	93-1-92	126-2-122	18-0-10	75-0-75	18-0-18	248-3-239	764-7-749	380-3-327	133-0-133	542-3-536	137-3-133	1-0-1	76-3-73	176-2-172	1236-1-1219
2020-03-22	00:00:00	NA	990-6-984	522-8-400	577-6-570	313-1-295	136-2-114	1413-8-1329	254-2-250	146-2-144	168-6-161	319-6-310	484-13-466	1274-22-1250	317-4-100	67800-3153-59433	1018-4-1014	75-1-74	633-0-631	936-1-934	93-1-92	127-2-124	24-0-10	75-0-75	18-0-18	248-3-239	767-7-750	404-4-328	133-0-133	543-3-536	137-3-133	1-0-1	76-3-73	176-2-172	1238-1-1219
2020-03-23	00:00:00	NA	990-6-984	537-8-400	578-6-570	313-1-295	136-2-114	1415-8-1332	254-2-250	146-2-144	168-6-161	319-6-310	484-13-465	1274-22-1250	356-4-100	67800-3153-59879	1018-4-1014	75-1-74	633-0-631	936-1-934	93-1-92	127-2-124	24-0-10	75-0-75	18-0-18	248-3-239	768-7-751	404-4-329	134-0-133	543-3-536	141-3-133	1-0-1	76-3-73	176-2-172	1238-1-1221
2020-03-24	00:00:00	NA	990-6-984	558-8-401	578-6-570	318-1-295	136-2-119	1428-8-1333	254-2-250	146-2-144	168-6-168	319-6-310	484-13-468	1274-22-1250	386-4-101	67801-3160-60324	1018-4-1014	75-1-74	636-0-631	936-1-934	93-1-92	127-2-124	25-0-10	75-0-75	18-0-18	249-3-240	768-7-752	414-4-330	134-0-133	545-3-536	145-3-133	1-0-1	76-3-73	176-2-172	1240-1-1221
2020-03-25	00:00:00	NA	990-6-984	561-8-403	578-6-570	322-1-295	136-2-119	1433-8-1336	254-2-250	146-2-144	168-6-168	319-6-310	484-13-468	1274-22-1250	410-4-102	67801-3163-60811	1018-4-1014	77-1-74	638-0-631	936-1-934	94-1-92	127-2-124	30-0-10	75-0-75	18-0-18	250-3-240	769-7-752	433-5-330	134-0-133	547-3-536	145-3-133	1-0-1	76-3-73	176-2-172	1241-1-1221
2020-03-26	00:00:00	NA	990-6-984	566-8-406	578-6-570	328-1-295	136-2-121	1448-8-1336	254-2-250	146-2-144	168-6-168	319-6-310	484-13-469	1275-22-1250	453-4-110	67801-3169-61201	1018-4-1014	89-1-74	640-0-631	936-1-934	95-1-92	128-2-124	31-0-10	75-0-75	18-0-18	253-3-242	771-7-752	451-5-331	135-0-133	547-3-536	151-3-133	1-0-1	76-3-73	178-2-172	1243-1-1222
2020-03-27	00:00:00	NA	990-6-984	569-8-408	578-6-570	331-1-295	136-2-123	1456-8-1337	254-2-250	146-2-144	168-6-168	319-6-310	484-13-469	1275-22-1250	519-4-110	67801-3174-61732	1018-4-1014	92-1-74	641-0-631	936-1-934	95-1-92	128-2-124	33-0-10	75-0-75	18-0-18	253-3-242	772-7-752	468-5-334	135-0-133	548-3-536	155-3-133	1-0-1	76-3-73	180-2-172	1247-1-1222
2020-03-28	00:00:00	NA	990-6-984	573-8-410	578-6-570	337-1-295	136-2-125	1467-8-1341	254-2-250	146-2-144	168-6-168	319-6-310	484-13-469	1275-22-1251	561-4-112	67801-3177-62098	1018-4-1014	94-1-74	641-0-631	936-1-934	97-1-92	132-2-124	37-0-10	75-0-75	18-0-18	253-3-242	772-7-752	485-5-334	135-0-133	548-3-536	161-3-133	1-0-1	76-3-73	180-2-172	1251-1-1225
2020-03-29	00:00:00	NA	990-6-984	577-8-412	579-6-570	338-1-295	138-2-125	1475-8-1349	254-2-250	146-2-144	168-6-168	319-6-310	484-13-469	1276-22-1251	641-4-112	67801-3182-62570	1018-4-1014	95-1-74	644-0-631	937-1-934	98-1-92	134-2-124	37-0-10	75-0-75	18-0-18	253-3-242	772-7-752	492-5-334	136-0-133	550-3-536	166-3-133	1-0-1	76-3-73	180-2-172	1254-1-1225
2020-03-30	00:00:00	NA	990-6-984	577-8-415	579-6-570	340-1-295	138-2-125	1484-8-1351	254-2-250	146-2-144	168-6-168	321-6-310	484-13-469	1276-22-1251	682-4-123	67801-3186-62889	1018-4-1014	97-1-74	645-0-631	937-1-935	98-1-92	136-2-124	38-0-10	75-0-75	18-0-18	253-3-242	773-7-753	498-5-338	136-0-133	550-3-536	174-3-133	1-0-1	76-3-73	180-2-172	1255-1-1225
2020-03-31	00:00:00	NA	990-6-984	580-8-418	579-6-570	343-1-295	138-2-125	1494-8-1356	254-2-250	146-2-144	168-6-168	321-6-310	484-13-469	1276-22-1251	714-4-128	67801-3187-63153	1018-4-1014	107-1-74	646-0-631	937-1-935	98-1-92	139-2-124	41-0-10	75-0-75	18-0-18	253-3-242	774-7-753	509-5-341	136-0-133	550-3-536	174-3-135	1-0-1	76-3-73	182-2-172	1257-1-1226
2020-04-01	00:00:00	NA	990-6-984	580-8-418	579-6-570	345-1-298	138-2-127	1501-8-1357	254-2-250	146-2-144	168-6-168	323-6-310	484-13-469	1276-22-1251	765-4-147	67802-3193-63326	1018-4-1014	111-1-74	646-0-631	937-1-935	98-1-92	140-2-124	41-0-10	75-0-75	18-0-18	255-3-242	774-7-753	516-6-341	137-0-133	552-3-537	176-3-135	1-0-1	76-3-73	182-2-172	1257-1-1226
2020-04-02	00:00:00	NA	990-6-984	582-8-424	579-6-570	345-1-299	138-2-127	1507-8-1365	254-2-252	146-2-144	168-6-162	325-6-310	488-13-469	1276-22-1251	802-4-147	67802-3199-63471	1019-4-1014	117-1-74	647-0-631	937-1-935	98-1-92	141-2-124	41-0-10	75-0-75	18-0-18	255-3-242	775-7-753	522-6-343	137-0-133	554-3-537	176-3-135	1-0-1	76-3-73	183-2-172	1258-1-1228
2020-04-03	00:00:00	NA	990-6-984	584-8-434	579-6-570	349-1-300	138-2-127	1514-8-1368	254-2-252	146-2-144	168-6-162	326-6-310	489-13-469	1276-22-1251	845-4-173	67802-3203-63612	1019-4-1014	117-1-74	651-0-632	937-1-935	98-1-92	141-2-124	43-0-10	75-0-75	18-0-18	255-3-244	778-7-754	526-6-348	137-0-133	555-3-537	180-3-140	1-0-1	76-3-73	184-2-172	1260-1-1228
