2020-04-08 22:51:58
COUNTY	CASES	DEATHS	RECOVERED
Sumter-Georgia	168	5	0
Talbot-Georgia	8	1	0
Taliaferro-Georgia	0	0	0
Tattnall-Georgia	3	0	0
Taylor-Georgia	5	2	0
Telfair-Georgia	4	0	0
Terrell-Georgia	93	9	0
Thomas-Georgia	43	2	0
Tift-Georgia	47	1	0
Toombs-Georgia	8	1	0
Towns-Georgia	2	0	0
Treutlen-Georgia	1	0	0
Troup-Georgia	48	3	0
Turner-Georgia	20	0	0
Twiggs-Georgia	2	0	0
Union-Georgia	4	0	0
Upson-Georgia	29	0	0
Walker-Georgia	3	0	0
Walton-Georgia	25	2	0
Ware-Georgia	42	3	0
Warren-Georgia	6	0	0
Washington-Georgia	17	0	0
Wayne-Georgia	4	0	0
Webster-Georgia	3	0	0
Wheeler-Georgia	1	0	0
White-Georgia	10	0	0
Whitfield-Georgia	21	3	0
Wilcox-Georgia	2	0	0
Wilkes-Georgia	5	0	0
Wilkinson-Georgia	4	0	0
Worth-Georgia	64	3	0
Hawaii-Hawaii	23	0	0
Honolulu-Hawaii	312	4	0
Kauai-Hawaii	18	0	0
Maui-Hawaii	48	1	0
Ada-Idaho	438	3	0
Adams-Idaho	1	0	0
Bannock-Idaho	5	0	0
Bear Lake-Idaho	0	0	0
Benewah-Idaho	0	0	0
Bingham-Idaho	2	0	0
Blaine-Idaho	428	4	0
Boise-Idaho	0	0	0
Bonner-Idaho	3	0	0
Bonneville-Idaho	7	0	0
Boundary-Idaho	0	0	0
Butte-Idaho	0	0	0
Camas-Idaho	1	0	0
Canyon-Idaho	114	3	0
Caribou-Idaho	1	0	0
Cassia-Idaho	5	1	0
Clark-Idaho	0	0	0
Clearwater-Idaho	0	0	0
Custer-Idaho	2	0	0
Elmore-Idaho	14	0	0
Franklin-Idaho	0	0	0
Fremont-Idaho	2	0	0
Gem-Idaho	8	0	0
Gooding-Idaho	3	0	0
Idaho-Idaho	3	0	0
Jefferson-Idaho	4	0	0
Jerome-Idaho	18	0	0
Kootenai-Idaho	42	0	0
Latah-Idaho	2	0	0
Lemhi-Idaho	0	0	0
Lewis-Idaho	0	0	0
Lincoln-Idaho	12	0	0
Madison-Idaho	4	0	0
Minidoka-Idaho	3	0	0
Nez Perce-Idaho	17	2	0
Oneida-Idaho	0	0	0
Owyhee-Idaho	2	0	0
Payette-Idaho	6	1	0
Power-Idaho	2	0	0
Shoshone-Idaho	0	0	0
Teton-Idaho	5	0	0
Twin Falls-Idaho	53	1	0
Valley-Idaho	2	0	0
Washington-Idaho	1	0	0
Adams-Illinois	1	0	0
Alexander-Illinois	0	0	0
Bond-Illinois	3	0	0
Boone-Illinois	7	1	0
Brown-Illinois	0	0	0
Bureau-Illinois	4	0	0
Calhoun-Illinois	1	0	0
Carroll-Illinois	5	1	0
Cass-Illinois	0	0	0
Champaign-Illinois	69	1	0
Christian-Illinois	23	3	0
Clark-Illinois	3	0	0
Clay-Illinois	0	0	0
Clinton-Illinois	13	0	0
Coles-Illinois	2	0	0
Cook-Illinois	10520	310	0
Crawford-Illinois	4	0	0
Cumberland-Illinois	1	0	0
De Kalb-Illinois	0	0	0
De Witt-Illinois	2	0	0
Douglas-Illinois	10	0	0
Du Page-Illinois	0	0	0
Edgar-Illinois	0	0	0
Edwards-Illinois	0	0	0
Effingham-Illinois	2	0	0
Fayette-Illinois	4	0	0
Ford-Illinois	3	1	0
Franklin-Illinois	2	0	0
Fulton-Illinois	0	0	0
Gallatin-Illinois	1	0	0
Greene-Illinois	0	0	0
Grundy-Illinois	12	0	0
Hamilton-Illinois	0	0	0
Hancock-Illinois	1	0	0
Hardin-Illinois	0	0	0
Henderson-Illinois	0	0	0
Henry-Illinois	16	0	0
Iroquois-Illinois	7	0	0
Jackson-Illinois	22	1	0
Jasper-Illinois	3	0	0
Jefferson-Illinois	3	0	0
Jersey-Illinois	5	0	0
Jo Daviess-Illinois	8	0	0
Johnson-Illinois	0	0	0
Kane-Illinois	296	19	0
Kankakee-Illinois	145	5	0
Kendall-Illinois	79	2	0
Knox-Illinois	1	0	0
Lake-Illinois	1041	23	0
La Salle-Illinois	0	0	0
Lawrence-Illinois	2	0	0
Lee-Illinois	6	0	0
Livingston-Illinois	10	0	0
Logan-Illinois	3	0	0
McDonough-Illinois	0	0	0
McHenry-Illinois	180	5	0
McLean-Illinois	65	2	0
Macon-Illinois	13	1	0
Macoupin-Illinois	10	0	0
Madison-Illinois	82	2	0
Marion-Illinois	4	0	0
Marshall-Illinois	1	0	0
Mason-Illinois	3	0	0
Massac-Illinois	2	0	0
Menard-Illinois	2	0	0
Mercer-Illinois	2	0	0
Monroe-Illinois	20	1	0
Montgomery-Illinois	4	1	0
Morgan-Illinois	8	1	0
Moultrie-Illinois	2	0	0
Ogle-Illinois	12	0	0
Peoria-Illinois	16	1	0
Perry-Illinois	0	0	0
Piatt-Illinois	4	0	0
Pike-Illinois	1	0	0
Pope-Illinois	0	0	0
Pulaski-Illinois	0	0	0
Putnam-Illinois	0	0	0
Randolph-Illinois	31	0	0
Richland-Illinois	1	0	0
Rock Island-Illinois	67	0	0
St Clair-Illinois	0	0	0
Saline-Illinois	2	0	0
Sangamon-Illinois	33	2	0
Schuyler-Illinois	0	0	0
Scott-Illinois	0	0	0
Shelby-Illinois	3	0	0
Stark-Illinois	1	0	0
Stephenson-Illinois	6	0	0
Tazewell-Illinois	17	2	0
Union-Illinois	0	0	0
Vermilion-Illinois	5	0	0
Wabash-Illinois	1	0	0
Warren-Illinois	0	0	0
Washington-Illinois	2	0	0
Wayne-Illinois	0	0	0
White-Illinois	0	0	0
Whiteside-Illinois	21	1	0
Will-Illinois	914	37	0
Williamson-Illinois	9	0	0
Winnebago-Illinois	63	3	0
Woodford-Illinois	7	0	0
Adams-Indiana	2	0	0
Allen-Indiana	95	7	0
Bartholomew-Indiana	66	4	0
Benton-Indiana	0	0	0
Blackford-Indiana	4	0	0
Boone-Indiana	76	2	0
Brown-Indiana	9	1	0
Carroll-Indiana	3	0	0
Cass-Indiana	15	0	0
Clark-Indiana	86	7	0
Clay-Indiana	11	0	0
Clinton-Indiana	8	0	0
Crawford-Indiana	11	0	0
Daviess-Indiana	5	1	0
Dearborn-Indiana	47	2	0
Decatur-Indiana	99	6	0
De Kalb-Indiana	0	0	0
Delaware-Indiana	46	1	0
Dubois-Indiana	9	0	0
Elkhart-Indiana	46	3	0
Fayette-Indiana	18	3	0
Floyd-Indiana	77	3	0
Fountain-Indiana	2	1	0
Franklin-Indiana	61	7	0
Fulton-Indiana	3	0	0
Gibson-Indiana	4	0	0
Grant-Indiana	22	2	0
Greene-Indiana	12	0	0
Hamilton-Indiana	392	15	0
Hancock-Indiana	99	2	0
Harrison-Indiana	48	1	0
Hendricks-Indiana	243	6	0
Henry-Indiana	19	0	0
Howard-Indiana	44	4	0
Huntington-Indiana	6	1	0
Jackson-Indiana	46	0	0
Jasper-Indiana	14	1	0
Jay-Indiana	3	0	0
Jefferson-Indiana	7	0	0
Jennings-Indiana	42	0	0
Johnson-Indiana	230	8	0
Knox-Indiana	10	0	0
Kosciusko-Indiana	16	0	0
La Grange-Indiana	0	0	0
Lake-Indiana	461	12	0
La Porte-Indiana	0	0	0
Lawrence-Indiana	55	7	0
Madison-Indiana	143	11	0
Marion-Indiana	2290	58	0
Marshall-Indiana	11	0	0
Martin-Indiana	1	0	0
Miami-Indiana	12	0	0
Monroe-Indiana	60	0	0
Montgomery-Indiana	17	0	0
Morgan-Indiana	82	1	0
Newton-Indiana	6	1	0
Noble-Indiana	11	1	0
Ohio-Indiana	1	0	0
Orange-Indiana	11	2	0
Owen-Indiana	17	0	0
Parke-Indiana	5	0	0
Perry-Indiana	0	0	0
Pike-Indiana	0	0	0
Porter-Indiana	85	0	0
Posey-Indiana	5	0	0
Pulaski-Indiana	1	0	0
Putnam-Indiana	27	1	0
Randolph-Indiana	7	1	0
Ripley-Indiana	76	3	0
Rush-Indiana	14	1	0
